No	age	gender	location	income 	hours
1	8-10	Male	Urban City	High Income	12
2	8-10	Male	Urban City	Low Income	12
3	2-4	Male	Rural Town	High Income	19
4	5-7	Female	Urban City	High Income	28
5	11-13	Female	Suburban Neighborhood	High Income	22
6	2-4	Male	Rural Town	Upper Middle Income	11
7	2-4	Female	Rural Town	Low Income	29
8	11-13	Male	Rural Town	High Income	10
9	11-13	Female	Rural Town	Middle Income	24
10	8-10	Female	Urban City	Low Income	7
11	2-4	Female	Suburban Neighborhood	Upper Middle Income	6
12	11-13	Female	Rural Town	Low Income	6
13	2-4	Male	Rural Town	Upper Middle Income	5
14	2-4	Female	Urban City	Upper Middle Income	28
15	11-13	Female	Suburban Neighborhood	Upper Middle Income	25
16	2-4	Male	Suburban Neighborhood	Low Income	9
17	2-4	Female	Urban City	Middle Income	5
18	8-10	Female	Suburban Neighborhood	Upper Middle Income	15
19	11-13	Male	Rural Town	Low Income	16
20	11-13	Male	Rural Town	Middle Income	18
21	2-4	Male	Suburban Neighborhood	High Income	5
22	8-10	Male	Suburban Neighborhood	Low Income	12
23	11-13	Female	Suburban Neighborhood	Upper Middle Income	9
24	2-4	Male	Rural Town	Low Income	8
25	11-13	Male	Rural Town	Upper Middle Income	29
26	2-4	Male	Rural Town	High Income	24
27	8-10	Female	Suburban Neighborhood	Middle Income	17
28	11-13	Male	Rural Town	High Income	8
29	8-10	Male	Rural Town	Low Income	23
30	2-4	Male	Suburban Neighborhood	Upper Middle Income	5
31	11-13	Female	Suburban Neighborhood	Upper Middle Income	11
32	8-10	Female	Urban City	High Income	25
33	8-10	Male	Suburban Neighborhood	Middle Income	15
34	5-7	Male	Urban City	Middle Income	18
35	2-4	Male	Urban City	High Income	7
36	5-7	Female	Suburban Neighborhood	Low Income	24
37	5-7	Female	Suburban Neighborhood	High Income	30
38	11-13	Female	Rural Town	Low Income	22
39	8-10	Female	Urban City	Upper Middle Income	18
40	11-13	Female	Rural Town	Middle Income	5
41	11-13	Male	Rural Town	Low Income	29
42	2-4	Male	Suburban Neighborhood	Low Income	11
43	11-13	Male	Urban City	Upper Middle Income	5
44	2-4	Male	Rural Town	Low Income	8
45	8-10	Male	Rural Town	High Income	5
46	8-10	Male	Rural Town	Middle Income	12
47	5-7	Female	Suburban Neighborhood	Middle Income	16
48	2-4	Male	Rural Town	Upper Middle Income	21
49	2-4	Male	Rural Town	Middle Income	17
50	2-4	Female	Rural Town	Low Income	9
51	5-7	Female	Urban City	High Income	6
52	11-13	Female	Suburban Neighborhood	High Income	23
53	11-13	Male	Urban City	Upper Middle Income	25
54	8-10	Male	Rural Town	Upper Middle Income	23
55	5-7	Male	Rural Town	High Income	18
56	11-13	Female	Suburban Neighborhood	High Income	11
57	11-13	Female	Rural Town	Middle Income	26
58	11-13	Male	Rural Town	High Income	10
59	11-13	Female	Suburban Neighborhood	High Income	21
60	2-4	Female	Urban City	Middle Income	14
61	5-7	Female	Rural Town	Middle Income	8
62	11-13	Female	Suburban Neighborhood	High Income	9
63	2-4	Male	Urban City	Low Income	26
64	8-10	Male	Urban City	Low Income	26
65	8-10	Male	Suburban Neighborhood	Upper Middle Income	24
66	11-13	Male	Rural Town	Upper Middle Income	8
67	2-4	Female	Rural Town	Low Income	11
68	8-10	Male	Suburban Neighborhood	High Income	29
69	11-13	Male	Urban City	High Income	17
70	5-7	Male	Rural Town	High Income	23
71	2-4	Female	Rural Town	Upper Middle Income	19
72	11-13	Male	Suburban Neighborhood	Middle Income	14
73	5-7	Male	Rural Town	Middle Income	7
74	5-7	Male	Urban City	Low Income	14
75	8-10	Female	Suburban Neighborhood	Middle Income	13
76	2-4	Male	Suburban Neighborhood	Middle Income	11
77	11-13	Male	Rural Town	Middle Income	10
78	11-13	Female	Suburban Neighborhood	High Income	6
79	11-13	Male	Urban City	High Income	30
80	5-7	Male	Urban City	Upper Middle Income	6
81	2-4	Female	Suburban Neighborhood	High Income	5
82	11-13	Male	Suburban Neighborhood	High Income	29
83	11-13	Male	Rural Town	Upper Middle Income	30
84	8-10	Female	Suburban Neighborhood	Upper Middle Income	29
85	11-13	Male	Suburban Neighborhood	Low Income	7
86	8-10	Male	Suburban Neighborhood	High Income	18
87	8-10	Male	Urban City	Low Income	28
88	11-13	Female	Suburban Neighborhood	Middle Income	5
89	5-7	Female	Rural Town	Middle Income	24
90	5-7	Female	Suburban Neighborhood	High Income	16
91	8-10	Male	Suburban Neighborhood	High Income	11
92	5-7	Female	Urban City	Upper Middle Income	5
93	5-7	Female	Suburban Neighborhood	Middle Income	7
94	11-13	Male	Suburban Neighborhood	High Income	7
95	2-4	Female	Suburban Neighborhood	Low Income	25
96	11-13	Female	Urban City	Middle Income	13
97	8-10	Male	Urban City	Middle Income	20
98	2-4	Female	Urban City	Low Income	9
99	8-10	Male	Urban City	Middle Income	21
100	5-7	Female	Urban City	Upper Middle Income	18
101	5-7	Female	Suburban Neighborhood	Upper Middle Income	27
102	11-13	Female	Rural Town	Upper Middle Income	9
103	2-4	Female	Rural Town	Upper Middle Income	15
104	5-7	Male	Rural Town	Middle Income	17
105	5-7	Male	Rural Town	Low Income	20
